name,target,pred,pred_score
./epidope/e-1.csv,1,0,0.770444
./epidope/e-2.csv,1,0,0.736855
./epidope/e-3.csv,1,0,0.717493
./epidope/e-4.csv,1,0,0.7043
./epidope/e-5.csv,1,0,0.808837
./epidope/e-6.csv,1,1,0.844623
./epidope/e-7.csv,1,0,0.789905
./epidope/e-8.csv,1,0,0.811546
./epidope/e-9.csv,1,0,0.816551
./epidope/e-10.csv,1,0,0.76495
./epidope/e-11.csv,1,0,0.724198
./epidope/e-12.csv,1,0,0.741977
./epidope/e-13.csv,1,0,0.76422
./epidope/e-14.csv,1,0,0.751391
./epidope/e-15.csv,1,0,0.747178
./epidope/e-16.csv,1,0,0.759528
./epidope/e-17.csv,1,0,0.663084
./epidope/e-18.csv,1,0,0.691564
./epidope/e-19.csv,1,0,0.76578
./epidope/e-20.csv,1,0,0.705657
./epidope/e-21.csv,1,0,0.65648
./epidope/e-22.csv,1,0,0.647204
./epidope/e-23.csv,1,0,0.723114
./epidope/e-24.csv,1,0,0.687633
./epidope/e-25.csv,1,0,0.677641
./epidope/e-26.csv,1,0,0.77186
./epidope/e-27.csv,1,1,0.844535
./epidope/e-28.csv,1,0,0.711974
./epidope/e-29.csv,1,0,0.730941
./epidope/e-30.csv,1,0,0.707423
./epidope/e-31.csv,1,0,0.701813
./epidope/e-32.csv,1,1,0.851431
./epidope/e-33.csv,1,0,0.693198
./epidope/e-34.csv,1,0,0.778671
./epidope/e-35.csv,1,0,0.653572
./epidope/e-36.csv,1,0,0.770542
./epidope/e-37.csv,1,0,0.716868
./epidope/e-38.csv,1,0,0.736093
./epidope/e-39.csv,1,0,0.768763
./epidope/e-40.csv,1,0,0.793761
./epidope/e-41.csv,1,0,0.78594
./epidope/e-42.csv,1,0,0.713261
./epidope/e-43.csv,1,0,0.689179
./epidope/e-44.csv,1,0,0.628817
./epidope/e-45.csv,1,0,0.752997
./epidope/e-46.csv,1,0,0.720257
./epidope/e-47.csv,1,0,0.715612
./epidope/e-48.csv,1,0,0.743074
./epidope/e-49.csv,1,0,0.683337
./epidope/e-50.csv,1,0,0.648036
./epidope/e-51.csv,1,0,0.696785
./epidope/e-52.csv,1,0,0.673683
./epidope/e-53.csv,1,0,0.68949
./epidope/e-54.csv,1,0,0.645961
./epidope/e-55.csv,1,0,0.718151
./epidope/e-56.csv,1,0,0.627884
./epidope/e-57.csv,1,0,0.649156
./epidope/e-58.csv,1,0,0.724455
./epidope/e-59.csv,1,0,0.727788
./epidope/e-60.csv,1,0,0.712692
./epidope/e-61.csv,1,0,0.720264
./epidope/e-62.csv,1,0,0.761796
./epidope/e-63.csv,1,0,0.756355
./epidope/e-64.csv,1,0,0.723803
./epidope/e-65.csv,1,0,0.618398
./epidope/e-66.csv,1,0,0.786969
./epidope/e-67.csv,1,0,0.756207
./epidope/e-68.csv,1,0,0.713262
./epidope/e-69.csv,1,0,0.716138
./epidope/e-70.csv,1,0,0.740813
./epidope/e-71.csv,1,0,0.697019
./epidope/e-72.csv,1,0,0.669034
./epidope/e-73.csv,1,0,0.714789
./epidope/e-74.csv,1,0,0.720964
./epidope/e-75.csv,1,0,0.727152
./epidope/e-76.csv,1,0,0.72104
./epidope/e-77.csv,1,0,0.729824
./epidope/e-78.csv,1,0,0.66259
./epidope/e-79.csv,1,0,0.688881
./epidope/e-80.csv,1,0,0.716352
./epidope/e-81.csv,1,0,0.710639
./epidope/e-82.csv,1,0,0.717318
./epidope/e-83.csv,1,0,0.730893
./epidope/e-84.csv,1,0,0.69731
./epidope/e-85.csv,1,0,0.709282
./epidope/e-86.csv,1,0,0.652484
./epidope/e-87.csv,1,0,0.643481
./epidope/e-88.csv,1,0,0.673612
./epidope/e-89.csv,1,0,0.679283
./epidope/e-90.csv,1,0,0.778396
./epidope/e-91.csv,1,0,0.748532
./epidope/e-92.csv,1,0,0.785687
